original_review_id,source,country,reviewId,userName,rating,review,title,date,version,discovery_score,categories,matched_terms,rating_bonus,priority_score,is_discovery_review,selected_for_gpt
4012,Google Play,IN,1cc0c50b-2df0-4dce-a708-e409248a23ec,Yunha Lee,4,"Spotify is an amazing music streaming platform with a great user experience, excellent recommendations, and a huge music library. However, it's disappointing that my country, Bangladesh, still doesn't have an official Spotify Chart, even though Spotify has been officially available here for years. Adding an official Bangladesh Spotify Chart would help fans support their favorite artists and give local musicians the recognition they deserve. I hope Spotify introduces an official BD chart 📉",,2026-06-27 14:00:21,9.1.60.1970,7,"recommendation,artist","artists,recommendations",1,8,True,False
2707,Google Play,IN,7421bc7a-fad3-4b0c-a146-e2bb67af7c67,Ann,3,"The app is great for listening to music & finding new music. HOWEVER, I have been having billing issues that Spotify never resolved. They told me to take it up with Google and the bank. That they are not responsible for billing when it is done through Google Play. But in my experience I haven't found any way to just pay for the Spotify not through my Google Play so I'm very confused. Basically, the app & the music itself is good, but the company and their support team is kind of garbage.",,2026-06-29 02:42:54,8.7.44.968,6,discovery,new music,2,8,True,False
2902,Google Play,IN,86a2403b-662b-4065-a39f-5576f617c91d,Adam Wibby,3,"app hasn't had any notable innovative features in the last 7 years. needs better podcast function. song and playlist suggestion, frinlend sharing... you get the idea. we were supposed to have flying cars by now. invest in R&D, I'm thinking of moving apps.",,2026-06-28 21:04:15,9.1.52.1394,6,"recommendation,playlist","playlist,suggestion",2,8,True,False
5016,Apple App Store,US,14252493402,FRe3 P@L3stine,3,"Since Spotify dj was added suggested songs have become far too limited, the DJ SHUFFLES my existing songs instead of introducing me to new music. and when I play a song it no longer recommends good new music. 

Bring back new music exposure!",Bring back new music exposure,2026-07-01T23:09:09-07:00,9.1.60,6,discovery,new music,2,8,True,False
5257,Apple App Store,US,14250536196,Naycarrz,3,Every time I listen to my playlist it keeps putting in songs that aren’t on my playlist and saying “in your recommended” when I just wanna listen to my playlist and also it started saying “you can only listen to your own music for a couple hours” like what????,Here,2026-07-01T11:18:35-07:00,9.1.60,6,"recommendation,playlist","playlist,recommended",2,8,True,False
5523,Apple App Store,GB,14250896287,motorsport student,3,"Spotify keeps over complicated simple thing example, when listening to something you want to click on the Album by clicking the Song Title or go to the Artist you click the Artist name. This is gone why it works and now has added more clicks and check what your clicking on to go where you want it’s just slower and not as easy and also Your Library why can I only pin 4 playlists like what why does it matter, it’s always so much effort to find my music my library should only have my playlists in it or what I want to be displayed this is definitely making me want to try other music players when all I want is what was on the app before just no need to fix these things",Spotify keeps messing up,2026-07-01T13:14:09-07:00,9.1.60,6,"playlist,personalization,artist","artist,my music,playlists",2,8,True,False
5951,Apple App Store,AU,14212924780,Mr_Bean_420,3,"I’ve been using Spotify Free, and I’m frustrated that I was unable to play the songs I wanted because of playback restrictions. I understand that Premium offers additional features, but being told to wait until tomorrow or pay just to listen to music made for a poor user experience. I’d like clearer explanations of these limits and more flexibility for free users. Also I cannot skip it back in songs any more like I’ll play a song from an album and after that song instead of it going to the next song in the album it just plays some random music from the whole different artist that I have no idea about. And, they have removed the replay button so I can’t put the song on repeat. and most times I don’t really mind the ads but you can’t just take away the replay button and put on an amount on how many songs you can listen to before you can’t play the anymore. COME ON APP DO BETTER",The most annoying app i ever used,2026-06-22T06:47:40-07:00,9.1.58,6,"repetition,artist","artist,repeat",2,8,True,False
6114,Apple App Store,AU,14193053951,BRINGBACKHEESEUNG1009,3,"This used to be my go to music streaming app, but the new “update” has been making me frustrated. I can’t even play my playlist, and it adds some unrelated songs i don’t even listen to (IT’S STUCK ON SHUFFLE!). And wdym you can’t even order, delete, control shuffle or not, and you have to pay for it now. Please fix this.",Used to love this app but what happened with the “update”?,2026-06-17T04:26:48-07:00,9.1.56,6,playlist,"playlist,shuffle",2,8,True,False
2147,Google Play,IN,4741d4cb-189f-460b-b026-97eadb6b7280,Logann Bell,2,this app works smoothly but doesn't have very diverse music it only has mostly the original it doesn't have much slowed or sped up which is annoying you can't play the ones that you want for the moment you have to listen to it shuffled if you don't have premium and you have to listen to a lot of ads. sometimes you can't even listen to music for a long period of time before it says you have to pay premium there are so many basic functions in here that you have to pay for Spotify do better 😡,,2026-06-29 20:20:51,9.1.52.1394,5,discovery,diverse,3,8,True,False
6429,Apple App Store,CA,14230616435,oejit,2,"App is totally bloated with features, slow to load any content, slow to search, hard to find stuff, hard to discover content. At times unusable",Degraded over years,2026-06-26T17:03:49-07:00,9.1.60,5,discovery,discover,3,8,True,False
941,Google Play,IN,5e634bec-1800-4e3c-a73a-bd9900a3c4eb,Jana M,5,"A great range of music, podcasts for family or for own moments, not too many adds. Have found some music and other sources I ve become obsessed. A benefit is diffrent Playlists for different moods, not to mention you can do free or purchase and when you do it even comes with audio books. Too much to discover from all over the world .",,2026-07-01 12:02:01,9.1.60.1970,7,"discovery,playlist","discover,playlists",0,7,True,False
1142,Google Play,IN,03d9ebb3-cf06-4687-801a-f9c9f38fc8bd,simon williams,5,"I'm profoundly deaf, and I use the ""sound tube bar"" as a gift from my missus. Spotify has given me the opportunity to explore the richness of all kinds of music genres, whether it's rock, pop, or something else. Spotify provides the lyrics in order for me to follow the beat and rhythm of the songs using my soundbar speakers. I think Spotify has done a fantastic job. Perhaps they could add an interpreter to sign for each song that deaf people like to watch and feel the vibration of the sound.",,2026-07-01 03:10:13,9.1.60.1970,7,discovery,"explore,genres",0,7,True,False
2513,Google Play,IN,dace88e2-101e-4e5b-ace0-31b5c3621277,Suzanne Orrick,5,"I really like being in control of whatever I want to hear. It's my choice. I am also able to listen to other's Playlists, in order to broaden my options & interests.",,2026-06-29 10:30:49,9.1.60.1970,7,"discovery,playlist","broaden,playlists",0,7,True,False
2928,Google Play,IN,1721c56a-3e42-40e0-a843-f74b5db37170,wilber vasquez,5,"Spotify is honestly one of those apps that just becomes part of your daily routine without you even noticing. It’s super easy to use, and it somehow always knows what you want to hear—like the playlists and recommendations feel really personal, not random. What I like most is that it doesn’t feel limited. You can switch from music to podcasts to something new you’ve never heard before, and it all just flows naturally. It’s simple, but it doesn’t feel basic.",,2026-06-28 20:25:09,9.1.60.1970,7,"recommendation,playlist","playlists,recommendations",0,7,True,False
3330,Google Play,IN,899ea21e-4d11-41c5-9f05-9c5c83cf2b7f,Bronson Shorten,5,"I used to feel like a DJ with my own playlists describing different genres of music sliced into one, for that sound of different rappers to mainstream artists on one profile. I got 2 in my control, 1 other profile has been rogue. since then I ventured on into the scene, from killer verses to mainstream artists. I still have to label them properly but since I'm a Native American Apache. I try to find the hunt or the killer instincts of the verses. blended with today's modern hip-hop style.",,2026-06-28 11:17:25,9.1.60.1970,7,"discovery,playlist,artist","artists,genres,playlists",0,7,True,False
5000,Google Play,IN,d11dd141-fd60-4fd6-afbb-8d8ed72f664c,sweet manis,5,"It is the best to listen to our favourite song and i love the fact that i can listen to song clearly. Besides,spotify help me to find out the artist who is the singer of the song and that helps me a lot because sometimes i cant find who is the true singer even if i google it or serach it on tiktok plus i cam make lots of different playlist based on my favourite artist and that is the best parts. I can also divide the genre of the song so i can listen to songs based on my moods every day clearly",,2026-06-26 09:13:49,,7,"discovery,playlist,artist","artist,genre,playlist",0,7,True,False
5116,Apple App Store,US,14251527610,ryazn,5,"Truly individualized and personalized music. A+, would recommend to friends and family.",Spotify changed my life,2026-07-01T17:05:52-07:00,9.1.60,7,recommendation,"personalized,recommend",0,7,True,False
5447,Apple App Store,US,14247699380,cerick132,5,The only thing I don’t like about this is that some songs that I used to be able to listen to I can’t listen to them anymore. When I use other ppl’s account and play the same song they are able to play it on their phone. I tried looking it up and everything on Google doesn’t work.,Song Restrictions,2026-06-30T19:47:59-07:00,9.1.60,7,repetition,same song,0,7,True,False
